Participant,Gait,Trial,StartTime,EndTime,AllDataExists,Active
4,r_comf,7,1.48,4.75,1,0
4,r_comf,8,1.19,4.42,1,0
4,r_comf,9,1.28,4.53,1,0
4,r_comf,10,1.15,4.36,1,0
4,r_fast,1,1.94,4.66,1,0
4,r_fast,2,1.61,4.27,1,0
4,r_fast,3,1.51,4.27,1,0
4,r_fast,4,1.58,4.49,1,0
4,r_fast,5,1.58,4.27,1,0
4,r_fast,6,1.63,4.3,1,0
4,r_fast,7,1.5,4.28,1,0
4,r_fast,8,1.53,1.64,1,0
4,r_fast,9,1.39,4.11,1,0
4,r_fast,10,1.27,4.01,1,0
4,r_slow,1,1.55,5.4,1,0
4,r_slow,2,1.13,1.16,1,0
4,r_slow,3,1,5.05,1,0
4,r_slow,4,1.2,5.13,1,0
4,r_slow,5,1.18,1.21,1,0
4,r_slow,6,1.31,5.27,1,0
4,r_slow,7,1.05,4.94,1,0
